english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Die Another Day;Stirb an einem anderen Tag;PG-13;2002;Action, Adventure, Thriller;Lee Tamahori;Ian Fleming, Neal Purvis, Robert Wade;movie;6.1;James Bond
Casino Royale;Casino Royale;PG-13;2006;Action, Adventure, Thriller;Martin Campbell;Neal Purvis, Robert Wade, Paul Haggis;movie;8.0;James Bond
Quantum of Solace;Ein Quantum Trost;PG-13;2008;Action, Adventure, Mystery;Marc Forster;Paul Haggis, Neal Purvis, Robert Wade;movie;6.5;James Bond
Skyfall;Skyfall;PG-13;2012;Action, Adventure, Thriller;Sam Mendes;Neal Purvis, Robert Wade, John Logan;movie;7.8;James Bond
Spectre;Spectre;PG-13;2015;Action, Adventure, Thriller;Sam Mendes;John Logan, Neal Purvis, Robert Wade;movie;6.8;James Bond
No Time to Die;Keine Zeit zu sterben;PG-13;2021;Action, Adventure, Thriller;Cary Joji Fukunaga;Neal Purvis, Robert Wade, Cary Joji Fukunaga;movie;7.3;James Bond
The Hunger Games;Die Tribute von Panem – The Hunger Games;PG-13;2012;Action, Adventure, Sci-Fi;Gary Ross;Gary Ross, Suzanne Collins, Billy Ray;movie;7.2;The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem
The Hunger Games: Catching Fire;Die Tribute von Panem – Catching Fire;PG-13;2013;Action, Adventure, Sci-Fi;Francis Lawrence;Simon Beaufoy, Michael Arndt, Suzanne Collins;movie;7.5;The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem
The Hunger Games: Mockingjay – Part 1;Die Tribute von Panem – Mockingjay Teil 1;PG-13;2014;Action, Adventure, Sci-Fi;Francis Lawrence;Peter Craig, Danny Strong, Suzanne Collins;movie;6.6;The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem
The Hunger Games: Mockingjay – Part 2;Die Tribute von Panem – Mockingjay Teil 2;PG-13;2015;Action, Adventure, Sci-Fi;Francis Lawrence;Peter Craig, Danny Strong, Suzanne Collins;movie;6.6;The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem
The Hunger Games: The Ballad of Songbirds & Snakes;Die Tribute von Panem – The Ballad of Songbirds & Snakes;PG-13;2023;Action, Adventure, Drama;Francis Lawrence;Michael Lesslie, Michael Arndt, Suzanne Collins;movie;6.7;The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem
Pirates of the Caribbean: The Curse of the Black Pearl;Fluch der Karibik;PG-13;2003;Action, Adventure, Fantasy;Gore Verbinski;Ted Elliott, Terry Rossio, Stuart Beattie;movie;8.1;Pirates of the Caribbean, Fluch der Karibik
Pirates of the Caribbean: Dead Man's Chest;Pirates of the Caribbean – Fluch der Karibik 2;PG-13;2006;Action, Adventure, Fantasy;Gore Verbinski;Ted Elliott, Terry Rossio, Stuart Beattie;movie;7.4;Pirates of the Caribbean, Fluch der Karibik
Pirates of the Caribbean: At World's End;Pirates of the Caribbean – Am Ende der Welt;PG-13;2007;Action, Adventure, Fantasy;Gore Verbinski;Ted Elliott, Terry Rossio, Stuart Beattie;movie;7.1;Pirates of the Caribbean, Fluch der Karibik
Pirates of the Caribbean: On Stranger Tides;Pirates of the Caribbean – Fremde Gezeiten;PG-13;2011;Action, Adventure, Fantasy;Rob Marshall;Ted Elliott, Terry Rossio, Stuart Beattie;movie;6.6;Pirates of the Caribbean, Fluch der Karibik
Pirates of the Caribbean: Dead Men Tell No Tales;Pirates of the Caribbean – Salazars Rache;PG-13;2017;Action, Adventure, Fantasy;Joachim Rønning, Espen Sandberg;Jeff Nathanson, Terry Rossio, Ted Elliott;movie;6.5;Pirates of the Caribbean, Fluch der Karibik
Jurassic Park;Jurassic Park;PG-13;1993;Action, Adventure, Sci-Fi;Steven Spielberg;Michael Crichton, David Koepp;movie;8.2;Jurassic Park, Jurassic World
The Lost World: Jurassic Park;Vergessene Welt: Jurassic Park;PG-13;1997;Action, Adventure, Sci-Fi;Steven Spielberg;Michael Crichton, David Koepp;movie;6.6;Jurassic Park, Jurassic World
Jurassic Park III;Jurassic Park III;PG-13;2001;Action, Adventure, Sci-Fi;Joe Johnston;Michael Crichton, Peter Buchman, Alexander Payne;movie;5.9;Jurassic Park, Jurassic World
Jurassic World;Jurassic World;PG-13;2015;Action, Adventure, Sci-Fi;Colin Trevorrow;Rick Jaffa, Amanda Silver, Colin Trevorrow;movie;6.9;Jurassic Park, Jurassic World
Jurassic World: Fallen Kingdom;Jurassic World: Das gefallene Königreich;PG-13;2018;Action, Adventure, Sci-Fi;J.A. Bayona;Derek Connolly, Colin Trevorrow, Michael Crichton;movie;6.1;Jurassic Park, Jurassic World
